Source,Target
38178317,38147148
38122354,38147148
38106313,38147148
38104881,38147148
38111299,38147148
38128544,38147148
32639565,35725624
38147148,38122354
38104881,38122354
38116097,38122354
38140936,38122354
38128544,38122354
38167459,38122354
38173055,38122354
38111299,38122354
38106313,38122354
38178317,38122354
35323393,36231232
36107392,36231232
33969523,36231232
33350449,36231232
36149590,36231232
36349814,36231232
35947430,32873272
35188275,32873272
36205515,36088963
31718784,36088963
32617605,36088963
30420774,31943836
32905803,31943836
35928120,30852564
33024550,30852564
30641988,30852564
38128544,38124662
38140936,38124662
38139119,38124662
36577859,34953358
30976662,34953358
34363092,34953358
36122948,34939280
33206284,34939280
34318860,34939280
30841878,34939280
35268010,34939280
35550035,34939280
38111299,38116097
38140936,38116097
38104881,38116097
38147148,38116097
38128544,38116097
38122354,38116097
38167459,38116097
38106313,38116097
38173055,38116097
38178317,38116097
36440184,34194241
34770522,34194241
31105333,34194241
33329584,34194241
33484264,34194241
30925102,34194241
35008637,34194241
30577855,34194241
32662411,34194241
34123717,34194241
31111588,34194241
35827835,35659752
36391361,35659752
33612929,35659752
34718094,34906523
32573869,34906523
33631567,34752335
34740497,34752335
35205564,34752335
36037623,34752335
34945686,34752335
33710125,34752335
32701735,33175623
35388577,33951339
35720135,33951339
35040012,33951339
36867687,33951339
32807102,33951339
33072704,33951339
34939280,33206284
35268010,33206284
36122948,33206284
34318860,33206284
30841878,33206284
34658499,33171875
35620594,33171875
34718094,34189837
32573869,34189837
34906523,34189837
30768679,33140921
34045766,33140921
35372965,33140921
36495335,33140921
33458694,30528837
30196309,30528837
36162009,30528837
33650826,30528837
32271520,30528837
33420824,33347391
35292901,33347391
33420824,30993356
35837069,30993356
35292901,30993356
33347391,30993356
35779215,37223370
35879628,31506105
34112832,31506105
33458694,32271520
30528837,32271520
30196309,32271520
33650826,32271520
31324703,34995706
35495111,34995706
32288827,34995706
34125125,34995706
35337136,34995706
31928542,30387260
35091807,30699549
30732511,30699549
36461997,32613796
32321071,32613796
34590493,32613796
30014702,32613796
33524409,32613796
36461997,34876280
30014702,34876280
36461997,30014702
34876280,30014702
31105133,35212080
34713261,35212080
36325751,35212080
35130291,35212080
34888827,35323425
35871589,35323425
37281043,35323425
33201803,35323425
35177349,35517127
35304104,35517127
36041833,35517127
33305504,34134783
32228957,34134783
