Source,Target
31079786,32638407
31079786,31469662
31079786,32971741
35715415,34502095
35715415,35051612
35715415,34093920
35715415,34047203
38166177,38166122
38166177,38166121
38166177,38164858
31964383,31167883
31964383,32450407
31964383,35293228
38157588,38156412
38157588,38156452
35431311,34486294
35431311,34458208
38178954,38178781
32638407,33053868
32638407,32686915
36568103,31742452
36568103,36245659
36568103,36463325
36568103,36555644
36568103,36161601
36568103,36064858
36568103,35651432
36568103,33868356
31174171,31178543
31174171,30845569
35930864,36072564
35930864,34565798
33087957,36117553
32374671,30612591
32374671,35611805
31555707,30107434
31555707,34807829
31555707,31566664
37593397,37309443
37593397,37778129
37593397,37592576
37593397,37063341
36178712,34525738
36178712,34090205
36178712,31453986
30483521,30370473
30483521,35964533
30483521,33069901
34045766,33140921
34045766,36495335
34045766,35372965
34081935,36315154
34081935,32948486
34713261,31105133
38182716,38182670
38182716,38182666
37198365,31433568
37198365,35740361
37198365,37065460
37198365,31380376
37198365,37313941
36117553,32375332
36117553,31989047
36117553,33087957
36117553,31710484
30841878,34939280
30841878,34318860
30841878,36122948
30841878,33206284
30841878,35268010
35295870,34353844
35295870,30069677
35295870,35066447
35295870,30666669
35399659,36505619
34021831,33325247
34021831,34383267
34021831,33839228
34021831,30964810
38156452,38156412
38156452,38157588
38172159,38172110
35766020,30889394
35766020,34399008
37526443,35881570
37526443,37501001
35891382,35679315
35891382,33069933
35891382,36071583
35891382,35682905
36532727,36536913
37375593,35051391
37375593,37529794
37375593,37484069
32844106,35268526
32844106,31539260
32844106,36111851
31025374,35217705
31025374,30397236
32450407,33451474
31969026,33563819
33534112,34679133
33534112,30992504
34132897,32625944
34675077,35799205
34675077,35871049
34675077,34113419
34675077,36191039
33768747,31052616
33768747,33936689
31472878,31957997
31472878,31119903
31472878,33943125
31472878,35884306
34588743,34697798
34588743,31170821
34588743,32774912
34588743,31013160
37395212,37372138
37395212,32739896
37395212,35795410
36405851,32969433
36405851,34300008
34047203,34502095
34047203,34163353
37127311,37102482
37127311,37111227
35740361,31186502
35740361,31433568
35740361,32845661
35740361,31380376
37428784,37708160
38171813,38171728
38171813,38171182
35087352,34111777
35087352,36610231
35087352,35147712
32748819,34384811
32748819,33229176
32748819,32983135
32748819,34169667
36141532,36473107
36141532,34218675
33039472,34132897
31744098,31099031
31744098,31170821
31744098,33004680
35198161,33214297
35198161,35091785
37074427,36246923
37074427,37073591
37074427,35441134
35372756,32112986
35372756,33450159
31907883,33069933
31907883,30732511
31907883,30699549
32971741,35609560
32971741,35836137
32971741,31275902
34951951,32411379
34951951,35268526
32565130,30370473
32565130,31381697
32565130,33069901
32565130,35964533
35996951,35923498
35996951,34604253
36075974,34189837
36075974,32573869
32871338,35609560
32871338,32233892
36130684,32447263
36130684,31832920
35745816,34630891
35816226,35476416
35816226,34206190
35816226,35707854
34127908,32921060
34127908,31873421
34127908,35616497
35579363,35954511
35579363,35754849
37104331,37111227
37104331,37115864
37104331,37127311
36024323,36325751
36024323,34755893
38180388,38180035
38180388,38180017
31742433,36437537
31742433,33042426
35595782,34691094
35595782,35177349
35595782,35304104
38173070,38172968
38173070,38173004
38173070,36488895
36074994,35051391
36074994,36352916
34590200,31022933
34590200,32058776
34590200,32276469
34590200,32741902
33936689,30279402
33936689,33768747
33936689,36487498
33936689,31052616
33936689,33296443
35168857,30491846
35168857,36116549
35168857,34934967
30040939,33168956
30040939,35870061
35299215,32965847
35299215,31614879
34355484,35294005
32741902,32058776
32741902,31022933
32741902,30373625
32741902,30820782
32741902,30545509
31381697,35964533
34684979,34906523
34684979,32573869
31041641,31177581
31041641,32469703
31183003,31087746
31183003,31208646
31183003,34934967
37224069,34458208
37224069,37016897
37224069,35431311
37224069,37940151
37224069,38040479
30589156,34206190
30589156,36608844
30589156,34661524
36858103,35091785
36858103,35867076
36858103,37486139
35024715,34784453
35024715,36793603
35024715,37374416
35024715,36243824
34690418,31335660
37889517,37362428
37889517,37312192
37889517,37264980
36781921,35881570
36781921,37526443
34113419,35871049
34113419,36083448
34113419,33807890
34206190,32678741
34206190,33809374
35867154,35175726
35867154,36687711
