Target,Source,Weight
35014785,35033308,12
30743467,30055808,10
31147107,31280272,11
36690494,37194594,51
36136244,32880111,67
33315021,33819907,16
33016188,31119352,14
34616028,30151816,17
38161761,38161983,15
33861617,34081693,16
30494424,37331974,20
35668626,36918568,24
37280793,37613228,49
36918568,32694928,53
37932970,37786773,117
32835355,31755445,23
35546999,30889394,23
34343998,35728675,20
37654156,37658468,25
32229338,31458744,22
32677328,33137131,11
32645288,32266744,25
33832805,35052091,14
31457381,30007548,26
35185871,30234755,14
34518939,33142109,14
30363299,36008297,69
35850673,37318314,85
31776601,32386144,14
33688314,34512754,43
35789673,36407785,60
34176120,31493802,17
35099596,32484225,34
31483010,35536547,17
30827498,34907524,15
38128544,38122354,278
31832920,32447263,84
30059510,34695644,22
34243779,30875446,10
31904461,37145793,26
33607311,30023663,90
30262686,31191980,12
34438287,35408400,27
35536585,36538932,19
36124707,36069328,14
34573873,32745133,32
33489590,34462375,18
33052128,34728511,15
31394416,35563453,31
36457205,36713812,20
30152456,30974265,18
36649380,35374926,38
35492781,36406091,32
31031735,34257967,10
35285961,32279365,10
34055014,37102950,27
33839438,36378622,20
35836137,31275902,34
33826535,31412952,14
38159496,38161235,721
35440937,35430823,11
36382126,36613708,14
36572897,36626585,30
33042793,33931241,21
33329584,36531498,74
34187829,30808374,30
31082487,31832920,18
38159496,38159647,254
30063699,31255332,37
35833951,37969098,12
35024715,36793603,15
32189283,36472565,110
34316994,35099596,14
30088857,30059510,10
35323742,36407785,46
30780563,31755445,15
34399008,30889394,22
35905153,31202650,10
36857301,35618288,37
37593605,37589638,49
34433699,33140713,19
31040585,34408803,54
32822645,32812478,12
35601718,35754849,37
35281509,33129268,15
30686562,31706469,10
34416421,36329614,27
33602141,30295741,30
33003196,30425362,68
36753952,36039950,14
33852558,31216124,10
13102929,35999316,11
34666862,30068511,44
33139548,34442121,20
30993560,35784128,36
30576513,35499025,15
38159494,38159496,421
31761258,30023663,40
33001969,34998022,10
32555431,33678667,30
32229275,34924342,23
30151534,30145583,11
32649958,31140106,147
38159059,38159494,104
37562243,37562342,10
37414361,37690283,23
30347966,34766820,137
33781393,35136058,12
33622817,31571880,11
36855034,36838906,11
33570149,35421442,101
30580681,30187975,24
32193184,32189283,50
36982750,36380971,17
34366518,35998980,21
35320509,37523289,43
32858201,36746147,13
31457075,32981674,23
37178903,37177657,45
37956611,37957013,11
30334650,35411396,40
31262486,33570937,25
35450757,31454092,44
30757941,31275960,14
32585950,32465447,13
34944317,36455843,33
35740361,37198365,87
34784030,36164739,13
37073672,37432559,53
37111867,36642089,28
31679088,31394416,10
37956320,37957013,61
31257123,31638324,13
35536585,35150735,55
32705579,37608561,20
35047369,35080670,12
35611805,32597127,66
36153628,35806908,16
30386977,32455090,16
34443167,37054870,20
34971428,34971114,24
35529915,33703628,13
33333819,30191683,21
34145802,35527773,44
36710971,36333274,25
37463138,37374850,15
38156058,38156412,19
36045180,38150827,19
32617048,30908078,31
36335052,36325388,30
31790300,32262112,12
30880514,34217977,38
35160180,35617375,19
35664857,33546067,13
34819601,33969983,17
38144129,38144208,22
36093486,37017432,12
34702989,33547555,13
34105460,34273378,12
36730907,37744679,18
35651432,35675480,48
34447190,36743950,22
35699680,35705184,16
30107434,31555707,33
31252707,35618288,10
30877183,34300813,11
30767930,31439494,17
37067231,37060273,16
36420101,35411396,14
33484546,32418457,12
33171875,37239349,21
34125189,37795916,13
35662166,36836376,18
35216558,35173805,26
34841158,34722240,17
36807968,36796265,37
30871076,33777943,12
35766867,36569385,30
38111299,38106313,315
32968069,32770632,14
30630719,36154968,17
34814977,34935525,18
35920844,36180628,10
35387824,35004743,19
32241245,34424375,21
33781578,35761559,10
34655700,36463106,18
31022933,34590200,49
34715141,36613708,18
34353844,30670366,124
36625458,37267501,30
33761899,37257473,23
34369510,31161208,14
35536585,31017844,54
31663122,35371966,12
37988291,37994563,14
36950607,37944822,16
32391657,30033175,13
36513200,37342820,10
34245975,34243779,45
33780627,35327740,11
36190288,36481022,52
30579937,36490024,14
32644524,30865122,10
33160735,31647614,13
30899336,36781207,29
34168470,34424375,18
37070967,37605093,10
37322314,37296709,21
34342892,30520537,11
35323723,37156933,49
37822630,37822842,26
31389020,31443139,26
35778217,36628572,131
34791938,36559482,189
35563977,37000863,11
30673181,36417487,11
34939280,36122948,52
33768788,36366443,26
31633946,32705579,21
33626816,32684313,10
35930497,34045584,12
38104881,38140936,74
32825055,37431589,22
36146379,37429472,37
33599086,30179026,23
34732103,32136707,64
33777943,38159578,71
35138856,35210346,10
35278921,36274438,17
30577513,34486916,17
