341,110,8
341,52,132
341,47,71
7,110,316
52,110,76
52,47,1803
15,21,15
15,281,16
388,15,24
388,21,6
388,281,1
149,15,7
149,21,3
149,281,15
389,15,25
389,21,1
389,281,1
160,720,9
160,46,39
160,18,42
160,361,10
7,720,15
7,18,2141
7,361,134
6,19,663
26,19,1617
65,19,179
219,19,107
10,96,309
10,225,542
84,96,424
84,10,5827
84,225,651
1,96,354
1,225,118
225,96,83
225,10,354
140,6,637
357,6,309
357,140,345
143,6,929
143,140,1306
7,140,1360
26,140,1290
31,29,1055
163,13,100
163,777,22
36,13,268
36,163,184
36,777,22
667,7,135
667,13,15
667,4,59
667,163,59
667,777,15
632,7,45
632,13,15
632,4,35
632,163,60
632,777,15
6,13,1974
6,163,654
6,777,22
11,278,3
26,278,65
4,278,63
7,278,67
160,20,129
160,66,13
160,269,29
7,20,2151
7,66,1602
7,269,858
307,20,101
307,6,686
307,444,197
307,445,65
7,307,601
7,444,215
7,445,163
6,307,577
6,20,786
6,444,219
6,445,106
100,307,133
100,20,141
100,444,75
100,445,38
99,276,22
99,52,188
99,47,217
7,276,265
26,276,124
26,52,2229
298,276,24
298,52,101
298,47,52
325,276,24
325,52,40
325,47,30
47,140,270
47,7,4772
47,143,310
4,140,888
4,143,991
105,140,41
105,47,391
105,7,1050
105,4,1617
105,143,49
140,7,1338
357,7,253
143,7,1914
108,91,6
108,4,66
108,11,16
108,7,12
108,31,37
195,91,105
195,4,96
195,11,669
195,7,251
195,31,53
701,91,8
701,4,1
701,11,14
701,7,1
701,31,3
11,91,217
461,91,21
461,4,3
461,11,83
461,7,38
461,31,8
12,6,1072
12,7,3546
12,4,2797
12,52,765
12,133,213
133,6,937
133,4,778
133,52,399
4,133,611
8,133,136
24,8,364
24,31,34
24,6,75
24,9,14
24,4,601
85,31,4
85,6,15
85,9,3
85,4,105
6,31,245
42,31,209
42,6,463
42,9,164
108,164,12
108,167,42
108,1,182
167,164,63
167,1,668
3,164,3
3,167,34
3,1,1247
1,70,565
4,70,356
70,1,515
70,4,379
70,47,115
70,52,49
8,70,249
47,70,86
213,7,19
240,7,270
4,36,1307
4,150,935
4,69,90
226,36,6
226,150,2
226,69,6
226,7,398
26,36,533
26,150,1086
26,69,32
6,69,75
99,4,944
99,7,1218
298,4,94
298,7,122
325,4,61
325,7,97
163,6,664
163,27,735
36,47,341
36,27,279
667,47,51
667,6,70
667,27,18
632,47,18
632,6,19
632,27,20
6,27,945
9,132,786
9,4,5644
9,152,985
12,132,131
12,152,106
12,8,758
7,132,419
7,152,685
140,13,128
140,20,115
140,52,183
357,13,50
357,20,28
357,52,44
143,13,184
143,20,143
143,52,229
7,13,1929
26,13,566
26,20,418
84,545,573
1,545,351
545,84,521
1,137,1260
137,1,1192
137,29,555
137,4,815
15,149,9
15,24,133
21,149,5
21,24,330
281,149,17
281,24,37
66,31,320
66,11,801
500,52,24
500,105,4
500,4,107
500,9,61
117,500,18
117,105,52
117,4,372
4,500,83
4,105,1615
7,500,78
7,105,1389
8,500,16
10,54,42
10,31,260
10,5,346
1,54,402
5,54,323
5,10,201
5,66,76
5,31,138
53,54,163
53,10,117
53,66,54
11,54,32
11,10,492
66,84,187
66,152,16
66,9,244
9,84,201
152,84,66
152,6,282
152,8,244
152,9,1038
132,84,44
132,6,191
132,8,150
37,160,19
37,6,241
38,160,26
38,6,123
39,160,7
39,6,32
7,160,403
29,31,1010
19,1,238
1,36,459
128,12,110
128,7,869
128,9,996
128,4,558
202,12,85
202,7,291
202,9,786
202,4,312
100,12,164
100,9,1150
100,4,1821
4,19,2167
47,19,611
47,6,1492
214,4,1049
214,7,1055
214,26,675
214,19,258
214,6,298
375,4,118
375,7,156
375,26,68
375,19,45
375,6,46
26,99,628
66,99,93
66,101,12
8,99,397
4,99,647
81,366,37
81,42,134
80,366,66
80,42,281
42,80,519
42,81,237
42,366,38
