Source,Target
34622847,32983135
34622847,35136058
34622847,33781393
33497065,34433699
33497065,32983135
33497065,33198717
33497065,33902005
36662782,34433699
36662782,32983135
36662782,33497065
32586283,34433699
32586283,32983135
32586283,34058894
35136058,34433699
35136058,33781393
35136058,35778784
35716537,34433699
35716537,34216876
32722631,34433699
36626782,34433699
36626782,32983135
34743436,34433699
35955915,34433699
35955915,35778784
35955915,32045000
30391054,34433699
30391054,34073174
30391054,30137128
35066700,34433699
35066700,34075415
35599870,34433699
32075995,34433699
31799135,34433699
36482331,34920375
36482331,35550210
36482331,36100867
36962259,36796180
36962259,35402073
36962259,36615287
36962259,36121383
36962259,36959743
35402073,36156739
36552785,36799129
36552785,37032425
37032425,36974390
37010843,36851886
37010843,31552303
34052717,33732532
34052717,36100571
34052717,35680648
34052717,31643518
34052717,34555783
35189164,33732532
35189164,32931675
35189164,33047567
32131364,33732532
32131364,34052717
32131364,31400214
35680648,33732532
35680648,34555783
35680648,35662507
35680648,34761686
32931675,33047567
34127971,35770622
32385006,35540454
32385006,32372102
32385006,13094894
32385006,31389422
36445361,35846068
36445361,35540454
33353468,36069827
33353468,31193286
32973715,36069827
30545657,31839038
30545657,13130798
30545657,34830077
30545657,35212417
30545657,35382082
34334841,33918313
34334841,34526922
36139020,36019794
36139020,36028734
36139020,31008887
36139020,34359046
34586542,36019794
36763296,36019794
36763296,34093837
36763296,36685061
36763296,35924110
34093837,32857477
34093837,35924110
34093837,34510980
34093837,35580400
34093837,32606988
32857477,34093837
37852502,37264980
36548312,33983492
36548312,34568920
30804978,34359046
30804978,31353100
30804978,34509588
30804978,36819746
30804978,34614993
35670665,31353100
36074117,35680648
30679842,30390329
30679842,31053379
31053379,30390329
31053379,30629027
31053379,32625944
31053379,30905304
31053379,34313675
30629027,30390329
30629027,31053379
30629027,32735597
30629027,34632019
35413166,31022933
35413166,32276469
35413166,34590200
35413166,31001290
35413166,33260591
33505589,31022933
33505589,31001290
33505589,33165635
33505589,33197743
31707839,30373625
31707839,30992504
32379253,30373625
32379253,36347237
32379253,34005601
36347237,35781848
36347237,32379253
33749023,34590200
33749023,36156706
30481200,31171673
30481200,30301579
30481200,32929263
30481200,31177581
30481200,32023139
33320055,30820782
36523034,34590200
36523034,33425766
33314476,34590200
33314476,31001290
13104142,34590200
34019637,36114472
36322261,36441160
36322261,36114472
36322261,33567335
36322261,36117396
32125487,30878128
30385232,30733016
30385232,30692731
30385232,30055168
31665929,32627723
31665929,30233436
31665929,34892995
37516198,33107694
37516198,33673344
33025504,33107694
36049339,33107694
36049339,32001160
36049339,33673344
31266017,34721076
31266017,31012668
32770632,32968069
31093387,32968069
31093387,35900305
35648741,35918989
35648741,34415853
35648741,34573554
30447257,30900667
31819758,30900667
31819758,30447257
38171738,38171182
38171738,38171732
38171738,37552415
38171738,37245922
38172110,38171813
38172110,38171182
38172110,38171362
38171182,38171139
38171182,38172159
38171182,38170975
38171811,38171728
38171811,38171300
38171811,35894133
38172076,38171997
38172076,38172027
38174135,38171997
38171683,38171300
38171300,38171139
38171300,38171182
38171300,38171208
38171300,38171258
38171758,38171728
38171758,38171139
38171758,38171182
38171804,38171728
38172260,38171728
38171919,38171728
38169487,38168963
38169487,38169546
36588853,36613342
38172868,38172575
38172868,38172466
38172868,38172731
38172575,38172391
38172159,38172110
38173070,38172968
38173070,38173004
38173070,36488895
38172361,38172293
38173264,38172968
38173264,38173070
38173264,38173060
38173264,38173004
38173060,38172968
38173060,38172868
38173004,38172968
38172466,38172361
38173153,38172968
38173074,38172968
38173074,31175176
38173074,35120730
38173808,38172968
38173808,38173264
38173808,38173581
38173808,37847326
38174077,38172968
38173743,38172968
38173898,38172968
38173055,38172968
38173055,38167459
38173055,38104881
38173055,38147148
38173055,38122354
38173055,38128544
38173055,38140936
38173055,38178317
38174090,38172968
38174558,38172968
38176382,38176352
38176447,38176352
38176188,37779044
38175922,38175811
38176585,38176352
38176774,38176352
38176774,38174889
38176339,38176352
38176339,38178134
38176339,38178165
38176339,38179329
38176798,38176352
